Partner Name,Tier,Location,References,Certified Experts,Profile URL,Certified Versions,References Total,Customer Retention %,Largest Reference Users,Average Reference Users,Reference Industries,RI_Agriculture,RI_Construction_Renovation,RI_ECO_liable_to_deduct_TCS_u_s_52,RI_ECO_liable_to_pay_GST_u_s_9_5,RI_Education,RI_Entertainment_Media,RI_Finance_Legal_Insurance,RI_Food_Hospitality_Tourism_Beverage,RI_Government,RI_HR_Administrative_Consulting,RI_Health_Social_Welfare_Pharmaceutical,RI_Households,RI_IT_Communication_Marketing,RI_Manufacturing_Maintenance,RI_Mining_Quarrying,RI_NGO,RI_Other_Services,RI_Real_Estate,RI_Science_Technology,RI_Transportation_Logistics,RI_Utilities_Energy_Water_supply,RI_Wholesale_Retail
ThinkOpen Solutions (Portugal),Gold,"Portugal , Algés , 1495-161",210,7,https://www.odoo.com/partners/thinkopen-solutions-portugal-2614,v19:1; v18:3; v17:3,210.0,91.0,600,15,IT / Communication / Marketing 19 Manufacturing / Maintenance 19 Construction & Renovation 17 Health / Social Welfare / Pharmaceutical 16 Science & Technology 15 Wholesale / Retail 15 Other Services 14 Finance / Legal / Insurance 11 Food / Hospitality / Tourism / Beverage 10 Utilities / Energy / Water supply 8,0,17,0,0,0,0,11,10,0,0,16,0,19,19,0,0,14,0,15,0,8,15
Process Control Technology SL,Gold,"Spain , Barcelona , Molins de Rei , 08750",198,11,https://www.odoo.com/partners/process-control-technology-sl-15337147,v18:4; v17:7,198.0,94.0,500,22,Manufacturing / Maintenance 58 Wholesale / Retail 36 Utilities / Energy / Water supply 17 Other Services 15 IT / Communication / Marketing 13 Science & Technology 12 Health / Social Welfare / Pharmaceutical 11 Food / Hospitality / Tourism / Beverage 10 Entertainment / Media 7 Transportation/Logistics 7,0,0,0,0,0,7,0,10,0,0,11,0,13,58,0,0,15,0,12,7,17,36
Eezee-it SA,Gold,"Belgium , Leuven , 3000",191,13,https://www.odoo.com/partners/eezee-it-sa-5534211,v19:4; v18:4; v17:5,191.0,90.0,200,10,Wholesale / Retail 30 IT / Communication / Marketing 27 Food / Hospitality / Tourism / Beverage 27 HR / Administrative / Consulting 17 Manufacturing / Maintenance 15 Construction & Renovation 14 Health / Social Welfare / Pharmaceutical 13 Finance / Legal / Insurance 10 Utilities / Energy / Water supply 10 Other Services 9,0,14,0,0,0,0,10,27,0,17,13,0,27,15,0,0,9,0,0,0,10,30
DPHI sprl,Gold,"Belgium , Herstal , 4040",183,5,https://www.odoo.com/partners/dphi-sprl-554730,v18:1; v17:4,183.0,96.0,200,7,Wholesale / Retail 45 Construction & Renovation 24 Manufacturing / Maintenance 16 Food / Hospitality / Tourism / Beverage 15 Other Services 15 Utilities / Energy / Water supply 12 Entertainment / Media 9 Health / Social Welfare / Pharmaceutical 8 IT / Communication / Marketing 8 Science & Technology 4,0,24,0,0,0,9,0,15,0,0,8,0,8,16,0,0,15,0,4,0,12,45
IROKOO,Gold,"France , CHATEAURENARD , 13160",177,9,https://www.odoo.com/partners/irokoo-6856840,v19:1; v18:4; v17:4,177.0,89.0,300,14,Manufacturing / Maintenance 58 Wholesale / Retail 48 IT / Communication / Marketing 32 Other Services 22 Food / Hospitality / Tourism / Beverage 7 Construction & Renovation 6 Entertainment / Media 4 Utilities / Energy / Water supply 3 Science & Technology 3 Agriculture 2,2,6,0,0,0,4,0,7,0,0,0,0,32,58,0,0,22,0,3,0,3,48
GAHEOS S.A.,Gold,"Ecuador , Guayaquil , EC090114",171,3,https://www.odoo.com/partners/gaheos-sa-4198333,v17:3,171.0,94.0,200,10,Wholesale / Retail 48 Finance / Legal / Insurance 20 Manufacturing / Maintenance 14 Health / Social Welfare / Pharmaceutical 11 Food / Hospitality / Tourism / Beverage 10 Science & Technology 9 IT / Communication / Marketing 6 Education 5 Real Estate 5 Construction & Renovation 4,0,4,0,0,5,0,20,10,0,0,11,0,6,14,0,0,0,5,9,0,0,48
E3K SOLUTIONS INC,Gold,"Canada , Quebec , Brossard , J4Y 0E3",157,7,https://www.odoo.com/partners/e3k-solutions-inc-264615,v18:1; v17:6,157.0,95.0,200,18,Manufacturing / Maintenance 36 Wholesale / Retail 29 Other Services 24 IT / Communication / Marketing 17 Food / Hospitality / Tourism / Beverage 8 Construction & Renovation 7 Science & Technology 6 Agriculture 6 Transportation/Logistics 4 Education 4,6,7,0,0,4,0,0,8,0,0,0,0,17,36,0,0,24,0,6,4,0,29
TRESCLOUD,Gold,"Ecuador , Quito , 170523",155,5,https://www.odoo.com/partners/trescloud-17317,v18:1; v17:4,155.0,87.0,300,18,Wholesale / Retail 31 Manufacturing / Maintenance 14 Other Services 9 IT / Communication / Marketing 5 Health / Social Welfare / Pharmaceutical 5 Finance / Legal / Insurance 4 Construction & Renovation 4 Utilities / Energy / Water supply 4 Education 3 Food / Hospitality / Tourism / Beverage 2,0,4,0,0,3,0,4,2,0,0,5,0,5,14,0,0,9,0,0,0,4,31
Arche TI,Gold,"Canada , Quebec , Montreal , H2S 1G5",153,9,https://www.odoo.com/partners/arche-ti-818719,v18:7; v17:2,153.0,92.0,200,19,Manufacturing / Maintenance 33 Other Services 24 Wholesale / Retail 22 Food / Hospitality / Tourism / Beverage 17 Construction & Renovation 17 Transportation/Logistics 11 Health / Social Welfare / Pharmaceutical 11 IT / Communication / Marketing 10 Agriculture 6 Entertainment / Media 4,6,17,0,0,0,4,0,17,0,0,11,0,10,33,0,0,24,0,0,11,0,22
Dynapps SA,Gold,"Switzerland , Bulle , 1630",151,6,https://www.odoo.com/partners/dynapps-sa-22361595,v19:2; v18:1; v17:3,151.0,96.0,200,13,Other Services 24 IT / Communication / Marketing 22 Wholesale / Retail 19 Manufacturing / Maintenance 18 Food / Hospitality / Tourism / Beverage 13 Construction & Renovation 10 Science & Technology 7 Health / Social Welfare / Pharmaceutical 6 Utilities / Energy / Water supply 5 Finance / Legal / Insurance 4,0,10,0,0,0,0,4,13,0,0,6,0,22,18,0,0,24,0,7,0,5,19
Captivea Luxembourg,Gold,"Luxembourg , Belvaux , L-4371",149,7,https://www.odoo.com/partners/captivea-luxembourg-7180742,v19:3; v18:1; v17:3,149.0,91.0,300,11,IT / Communication / Marketing 23 Finance / Legal / Insurance 20 Wholesale / Retail 15 Food / Hospitality / Tourism / Beverage 14 Utilities / Energy / Water supply 11 Health / Social Welfare / Pharmaceutical 11 Other Services 10 Construction & Renovation 10 Manufacturing / Maintenance 7 Transportation/Logistics 7,0,10,0,0,0,0,20,14,0,0,11,0,23,7,0,0,10,0,0,7,11,15
Intero Technologies GmbH,Gold,"Germany , Berlin , 10587",145,26,https://www.odoo.com/partners/intero-technologies-gmbh-4364,v18:22; v17:4,145.0,85.0,1000,22,IT / Communication / Marketing 31 Wholesale / Retail 21 Manufacturing / Maintenance 21 Other Services 14 Science & Technology 12 Health / Social Welfare / Pharmaceutical 6 Transportation/Logistics 6 Food / Hospitality / Tourism / Beverage 6 Construction & Renovation 5 Utilities / Energy / Water supply 5,0,5,0,0,0,0,0,6,0,0,6,0,31,21,0,0,14,0,12,6,5,21
Open Source Integrators,Gold,"United States , Arizona , Chandler , 85225",145,12,https://www.odoo.com/partners/open-source-integrators-1288477,v19:2; v18:4; v17:6,145.0,95.0,500,42,Manufacturing / Maintenance 67 Wholesale / Retail 17 IT / Communication / Marketing 10 Finance / Legal / Insurance 9 Health / Social Welfare / Pharmaceutical 8 Utilities / Energy / Water supply 7 Construction & Renovation 6 Entertainment / Media 4 Other Services 3 Food / Hospitality / Tourism / Beverage 3,0,6,0,0,0,4,9,3,0,0,8,0,10,67,0,0,3,0,0,0,7,17
STeSI Consulting,Gold,"Italy , Torino , Torino , 10138",144,7,https://www.odoo.com/partners/stesi-consulting-2649749,v19:1; v18:2; v17:4,144.0,95.0,400,17,Manufacturing / Maintenance 32 Wholesale / Retail 22 IT / Communication / Marketing 17 Other Services 17 Construction & Renovation 9 Transportation/Logistics 8 Food / Hospitality / Tourism / Beverage 8 Science & Technology 7 Health / Social Welfare / Pharmaceutical 4 Finance / Legal / Insurance 4,0,9,0,0,0,0,4,8,0,0,4,0,17,32,0,0,17,0,7,8,0,22
tsc - The Service Company SRL,Gold,"Belgium , Walloon Brabant , Waterloo , 1410",139,5,https://www.odoo.com/partners/tsc-the-service-company-srl-2332308,v18:4; v17:1,139.0,96.0,1000,13,Wholesale / Retail 32 Food / Hospitality / Tourism / Beverage 19 Other Services 17 Manufacturing / Maintenance 11 Health / Social Welfare / Pharmaceutical 8 Construction & Renovation 8 Science & Technology 7 IT / Communication / Marketing 6 Entertainment / Media 5 Finance / Legal / Insurance 4,0,8,0,0,0,5,4,19,0,0,8,0,6,11,0,0,17,0,7,0,0,32
Indaws Business Solutions SL,Gold,"Spain , València (Valencia) , Valéncia , 46013",138,19,https://www.odoo.com/partners/indaws-business-solutions-sl-78899,v19:6; v18:9; v17:4,138.0,96.0,200,13,Wholesale / Retail 30 Manufacturing / Maintenance 17 Construction & Renovation 17 IT / Communication / Marketing 15 Finance / Legal / Insurance 13 Other Services 6 Utilities / Energy / Water supply 6 Science & Technology 5 NGO 3 HR / Administrative / Consulting 2,0,17,0,0,0,0,13,0,0,2,0,0,15,17,0,3,6,0,5,0,6,30
Callista,Gold,"Belgium , Limburg , Meerhout , 2450",137,5,https://www.odoo.com/partners/callista-785992,v19:1; v18:2; v17:2,137.0,97.0,200,11,Construction & Renovation 29 Wholesale / Retail 25 Manufacturing / Maintenance 24 IT / Communication / Marketing 12 HR / Administrative / Consulting 6 Other Services 6 Science & Technology 5 Health / Social Welfare / Pharmaceutical 3 Households 2 Utilities / Energy / Water supply 1,0,29,0,0,0,0,0,0,0,6,3,2,12,24,0,0,6,0,5,0,1,25
dooIT BV,Gold,"Netherlands , Rotterdam , 3067 GG",137,8,https://www.odoo.com/partners/dooit-bv-9823433,v19:6; v18:1; v17:1,137.0,93.0,100,6,Wholesale / Retail 38 Finance / Legal / Insurance 35 Other Services 17 IT / Communication / Marketing 13 Manufacturing / Maintenance 9 Construction & Renovation 6 Food / Hospitality / Tourism / Beverage 6 Entertainment / Media 4 Transportation/Logistics 3 Science & Technology 2,0,6,0,0,0,4,35,6,0,0,0,0,13,9,0,0,17,0,2,3,0,38
Xmarts - Doit Digital,Gold,"Mexico , Jalisco , Guadalajara , 44130",136,8,https://www.odoo.com/partners/xmarts-doit-digital-11037713,v18:6; v17:2,136.0,85.0,300,21,IT / Communication / Marketing 10 Manufacturing / Maintenance 9 Science & Technology 7 Food / Hospitality / Tourism / Beverage 6 Health / Social Welfare / Pharmaceutical 4 Other Services 4 Utilities / Energy / Water supply 3 Wholesale / Retail 3 Construction & Renovation 2 Education 2,0,2,0,0,2,0,0,6,0,0,4,0,10,9,0,0,4,0,7,0,3,3
IFE GmbH,Gold,"Germany , Niedersachsen , Hannover , 30655",134,10,https://www.odoo.com/partners/ife-gmbh-12796,v19:1; v18:7; v17:2,134.0,93.0,500,31,IT / Communication / Marketing 43 Manufacturing / Maintenance 23 Science & Technology 17 Wholesale / Retail 13 Other Services 11 Utilities / Energy / Water supply 9 Food / Hospitality / Tourism / Beverage 9 Health / Social Welfare / Pharmaceutical 6 Construction & Renovation 6 Entertainment / Media 4,0,6,0,0,0,4,0,9,0,0,6,0,43,23,0,0,11,0,17,0,9,13
Meisour Global Solutions,Gold,"Somalia , Somaliland , Hargeisa, Mogadishu, Dubai and Ethiopia , -",132,3,https://www.odoo.com/partners/meisour-global-solutions-2541310,v18:1; v17:2,132.0,88.0,100,10,Wholesale / Retail 41 Utilities / Energy / Water supply 9 Health / Social Welfare / Pharmaceutical 8 Manufacturing / Maintenance 8 Other Services 7 Food / Hospitality / Tourism / Beverage 7 IT / Communication / Marketing 2 Construction & Renovation 2 NGO 2 Finance / Legal / Insurance 2,0,2,0,0,0,0,2,7,0,0,8,0,2,8,0,2,7,0,0,0,9,41
VAUXOO CONSULTORES,Gold,"Mexico , Jalisco , Guadalajara , 44680",132,2,https://www.odoo.com/partners/vauxoo-consultores-20775050,v17:2,132.0,82.0,2000,47,IT / Communication / Marketing 9 Manufacturing / Maintenance 9 Wholesale / Retail 8 Science & Technology 7 Finance / Legal / Insurance 4 Food / Hospitality / Tourism / Beverage 3 Other Services 3 Transportation/Logistics 2 Construction & Renovation 1 Health / Social Welfare / Pharmaceutical 1,0,1,0,0,0,0,4,3,0,0,1,0,9,9,0,0,3,0,7,2,0,8
Pragmatic,Gold,"Colombia , Bogota , 111161",129,5,https://www.odoo.com/partners/pragmatic-1766247,v18:4; v17:1,129.0,86.0,200,26,Wholesale / Retail 23 Manufacturing / Maintenance 21 Other Services 17 Science & Technology 12 Finance / Legal / Insurance 9 IT / Communication / Marketing 8 Food / Hospitality / Tourism / Beverage 8 Health / Social Welfare / Pharmaceutical 7 Construction & Renovation 4 Utilities / Energy / Water supply 2,0,4,0,0,0,0,9,8,0,0,7,0,8,21,0,0,17,0,12,0,2,23
ARXI,Gold,"Portugal , Leiria , Leiria , 2410-480",127,5,https://www.odoo.com/partners/arxi-1047233,v18:2; v17:3,127.0,86.0,100,14,Manufacturing / Maintenance 22 Wholesale / Retail 13 Construction & Renovation 13 Other Services 11 IT / Communication / Marketing 10 Science & Technology 6 Finance / Legal / Insurance 6 Food / Hospitality / Tourism / Beverage 5 Education 4 Health / Social Welfare / Pharmaceutical 4,0,13,0,0,4,0,6,5,0,0,4,0,10,22,0,0,11,0,6,0,0,13
Plus Tech Company,Gold,"Saudi Arabia , Riyadh, Jeddah, Dammam , 14221",127,5,https://www.odoo.com/partners/plus-tech-company-4700047,v18:4; v17:1,127.0,90.0,300,19,Wholesale / Retail 27 Food / Hospitality / Tourism / Beverage 17 Manufacturing / Maintenance 14 Entertainment / Media 13 Construction & Renovation 12 Real Estate 11 Finance / Legal / Insurance 7 NGO 3 Other Services 3 Health / Social Welfare / Pharmaceutical 2,0,12,0,0,0,13,7,17,0,0,2,0,0,14,0,3,3,11,0,0,0,27
Global Solutions,Gold,"Saudi Arabia , Jeddah - Riyadh - Dammam , 23434",126,10,https://www.odoo.com/partners/global-solutions-3428807,v19:2; v18:5; v17:3,126.0,96.0,100,11,Wholesale / Retail 32 Manufacturing / Maintenance 21 Construction & Renovation 17 IT / Communication / Marketing 10 Entertainment / Media 9 Transportation/Logistics 7 Real Estate 6 Utilities / Energy / Water supply 5 NGO 4 Food / Hospitality / Tourism / Beverage 3,0,17,0,0,0,9,0,3,0,0,0,0,10,21,0,4,0,6,0,7,5,32
braintec Schweiz,Gold,"Switzerland , Zürich , Zürich , 8005",126,41,https://www.odoo.com/partners/braintec-schweiz-27661067,v19:8; v18:17; v17:16,126.0,99.0,1300,45,Wholesale / Retail 21 IT / Communication / Marketing 20 Manufacturing / Maintenance 17 Food / Hospitality / Tourism / Beverage 16 Other Services 10 Health / Social Welfare / Pharmaceutical 9 Transportation/Logistics 6 Science & Technology 5 Real Estate 5 Construction & Renovation 4,0,4,0,0,0,0,0,16,0,0,9,0,20,17,0,0,10,5,5,6,0,21
AITIC Alexsim,Gold,"Argentina , Buenos Aires , Canning , C1804",125,6,https://www.odoo.com/partners/aitic-alexsim-1026613,v18:1; v17:5,125.0,93.0,200,17,Manufacturing / Maintenance 41 Wholesale / Retail 21 Other Services 19 Food / Hospitality / Tourism / Beverage 13 IT / Communication / Marketing 7 Health / Social Welfare / Pharmaceutical 7 Science & Technology 6 Utilities / Energy / Water supply 5 Construction & Renovation 4 Agriculture 3,3,4,0,0,0,0,0,13,0,0,7,0,7,41,0,0,19,0,6,0,5,21
much. GmbH,Gold,"Germany , Bayern , München , 80807",125,42,https://www.odoo.com/partners/much-gmbh-2228935,v18:18; v17:24,125.0,94.0,300,29,IT / Communication / Marketing 27 Other Services 23 Wholesale / Retail 22 Manufacturing / Maintenance 11 Science & Technology 10 Health / Social Welfare / Pharmaceutical 9 Construction & Renovation 6 Utilities / Energy / Water supply 5 Food / Hospitality / Tourism / Beverage 4 HR / Administrative / Consulting 2,0,6,0,0,0,0,0,4,0,2,9,0,27,11,0,0,23,0,10,0,5,22
Captivea,Gold,"France , Le Bourget du Lac , 73370",124,5,https://www.odoo.com/partners/captivea-351158,v18:1; v17:4,124.0,94.0,400,24,Manufacturing / Maintenance 22 Wholesale / Retail 21 IT / Communication / Marketing 14 Health / Social Welfare / Pharmaceutical 9 Science & Technology 8 Other Services 7 Finance / Legal / Insurance 6 Utilities / Energy / Water supply 6 Construction & Renovation 5 Food / Hospitality / Tourism / Beverage 5,0,5,0,0,0,0,6,5,0,0,9,0,14,22,0,0,7,0,8,0,6,21
Captivea USA,Gold,"United States , Florida , Orlando , 32828-9372",122,9,https://www.odoo.com/partners/captivea-usa-1489395,v18:6; v17:3,122.0,88.0,500,26,Manufacturing / Maintenance 23 Wholesale / Retail 21 Health / Social Welfare / Pharmaceutical 11 Science & Technology 10 Utilities / Energy / Water supply 8 Construction & Renovation 8 Transportation/Logistics 7 Food / Hospitality / Tourism / Beverage 6 Other Services 5 Households 5,0,8,0,0,0,0,0,6,0,0,11,5,0,23,0,0,5,0,10,7,8,21
"Consultoría Informática Studio73, S.L.",Gold,"Spain , València (Valencia) , Ontinyent , 46870",122,22,https://www.odoo.com/partners/consultoria-informatica-studio73-sl-1506080,v19:2; v18:11; v17:9,122.0,100.0,300,17,Manufacturing / Maintenance 39 Wholesale / Retail 36 Construction & Renovation 10 Health / Social Welfare / Pharmaceutical 10 IT / Communication / Marketing 9 Finance / Legal / Insurance 5 Other Services 3 Education 2 Real Estate 1 Utilities / Energy / Water supply 1,0,10,0,0,2,0,5,0,0,0,10,0,9,39,0,0,3,1,0,0,1,36
IT Grupo,Gold,"Peru , Lima , 04000",122,2,https://www.odoo.com/partners/it-grupo-14315990,v17:2,122.0,91.0,200,20,Wholesale / Retail 34 Manufacturing / Maintenance 19 Other Services 13 Transportation/Logistics 10 Food / Hospitality / Tourism / Beverage 9 IT / Communication / Marketing 8 Construction & Renovation 7 Mining & Quarrying 6 Health / Social Welfare / Pharmaceutical 4 Education 3,0,7,0,0,3,0,0,9,0,0,4,0,8,19,6,0,13,0,0,10,0,34
Mast Information Technology,Gold,"Bahrain , Tubli , 0",121,10,https://www.odoo.com/partners/mast-information-technology-4701724,v19:1; v18:3; v17:6,121.0,82.0,100,6,Wholesale / Retail 69 Other Services 31 Food / Hospitality / Tourism / Beverage 19 Health / Social Welfare / Pharmaceutical 10 Manufacturing / Maintenance 9 Real Estate 4 Construction & Renovation 4 Finance / Legal / Insurance 4 Entertainment / Media 3 IT / Communication / Marketing 3,0,4,0,0,0,3,4,19,0,0,10,0,3,9,0,0,31,4,0,0,0,69
OdooTec أُودُوتِكْ,Gold,"Saudi Arabia , Riyadh Jeddah Dammam , 12241",121,6,https://www.odoo.com/partners/odootec-اودوتك-559295,v18:3; v17:3,121.0,91.0,2300,42,Construction & Renovation 16 Other Services 11 Wholesale / Retail 10 Manufacturing / Maintenance 10 Finance / Legal / Insurance 8 IT / Communication / Marketing 7 Real Estate 7 Food / Hospitality / Tourism / Beverage 5 Entertainment / Media 5 Health / Social Welfare / Pharmaceutical 5,0,16,0,0,0,5,8,5,0,0,5,0,7,10,0,0,11,7,0,0,0,10
PUNT SISTEMES SLU,Gold,"Spain , Las Palmas , Ses Cases Noves (Marratxi) , 07141",121,7,https://www.odoo.com/partners/punt-sistemes-slu-22115,v18:5; v17:2,121.0,97.0,100,13,Manufacturing / Maintenance 30 Wholesale / Retail 25 IT / Communication / Marketing 14 Other Services 12 Construction & Renovation 7 Food / Hospitality / Tourism / Beverage 6 Health / Social Welfare / Pharmaceutical 4 Utilities / Energy / Water supply 4 Agriculture 3 Science & Technology 2,3,7,0,0,0,0,0,6,0,0,4,0,14,30,0,0,12,0,2,0,4,25
OERP Canada,Gold,"Canada , Ontario , Toronto , M8X 2X3",120,9,https://www.odoo.com/partners/oerp-canada-121744,v19:2; v18:3; v17:4,120.0,95.0,200,17,Manufacturing / Maintenance 24 Wholesale / Retail 19 Other Services 13 Food / Hospitality / Tourism / Beverage 12 IT / Communication / Marketing 11 Science & Technology 10 Agriculture 8 Education 5 Transportation/Logistics 4 Construction & Renovation 4,8,4,0,0,5,0,0,12,0,0,0,0,11,24,0,0,13,0,10,4,0,19
Idealis Consulting,Gold,"Belgium , Mont-Saint-Guibert , 1348",119,16,https://www.odoo.com/partners/idealis-consulting--295,v18:7; v17:9,119.0,94.0,300,38,Manufacturing / Maintenance 19 Other Services 18 Food / Hospitality / Tourism / Beverage 16 IT / Communication / Marketing 12 Transportation/Logistics 8 NGO 8 Health / Social Welfare / Pharmaceutical 8 Science & Technology 6 Wholesale / Retail 5 Utilities / Energy / Water supply 5,0,0,0,0,0,0,0,16,0,0,8,0,12,19,0,8,18,0,6,8,5,5
RoayaTec,Gold,"Egypt , Alexandria , Alexandria & Cairo Governorates",119,6,https://www.odoo.com/partners/roayatec-17207720,v18:3; v17:3,119.0,87.0,200,20,Wholesale / Retail 34 Manufacturing / Maintenance 23 Utilities / Energy / Water supply 9 Health / Social Welfare / Pharmaceutical 7 IT / Communication / Marketing 7 Food / Hospitality / Tourism / Beverage 7 Agriculture 6 Construction & Renovation 6 Transportation/Logistics 4 Other Services 3,6,6,0,0,0,0,0,7,0,0,7,0,7,23,0,0,3,0,0,4,9,34
